score, v[0], v[1], v[2], v[3], v[4], v[5], v[6], v[7], v[8], v[9]
57, 0, 1, 3, 4, 5, 6, 7, 9, 10, 12
57, 0, 1, 3, 4, 5, 6, 8, 9, 10, 11
57, 0, 2, 3, 4, 5, 6, 7, 8, 9, 13
57, 0, 2, 3, 4, 5, 6, 7, 8, 10, 12
57, 0, 2, 3, 4, 5, 6, 7, 9, 10, 11
57, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12
57, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11
58, 0, 1, 2, 3, 4, 5, 6, 7, 8, 22
58, 0, 1, 2, 3, 4, 5, 6, 7, 9, 21
58, 0, 1, 2, 3, 4, 5, 6, 7, 10, 20
58, 0, 1, 2, 3, 4, 5, 6, 7, 11, 19
58, 0, 1, 2, 3, 4, 5, 6, 7, 12, 18
58, 0, 1, 2, 3, 4, 5, 6, 7, 13, 17
58, 0, 1, 2, 3, 4, 5, 6, 7, 14, 16
58, 0, 1, 2, 3, 4, 5, 6, 8, 9, 20
58, 0, 1, 2, 3, 4, 5, 6, 8, 10, 19
58, 0, 1, 2, 3, 4, 5, 6, 8, 11, 18
58, 0, 1, 2, 3, 4, 5, 6, 8, 12, 17
58, 0, 1, 2, 3, 4, 5, 6, 8, 13, 16
58, 0, 1, 2, 3, 4, 5, 6, 8, 14, 15
58, 0, 1, 2, 3, 4, 5, 6, 9, 10, 18
58, 0, 1, 2, 3, 4, 5, 6, 9, 11, 17
58, 0, 1, 2, 3, 4, 5, 6, 9, 12, 16
58, 0, 1, 2, 3, 4, 5, 6, 9, 13, 15
58, 0, 1, 2, 3, 4, 5, 6, 10, 11, 16
58, 0, 1, 2, 3, 4, 5, 6, 10, 12, 15
58, 0, 1, 2, 3, 4, 5, 6, 10, 13, 14
58, 0, 1, 2, 3, 4, 5, 6, 11, 12, 14
58, 0, 1, 2, 3, 4, 5, 7, 8, 9, 19
58, 0, 1, 2, 3, 4, 5, 7, 8, 10, 18
58, 0, 1, 2, 3, 4, 5, 7, 8, 11, 17
58, 0, 1, 2, 3, 4, 5, 7, 8, 12, 16
58, 0, 1, 2, 3, 4, 5, 7, 8, 13, 15
58, 0, 1, 2, 3, 4, 5, 7, 9, 10, 17
58, 0, 1, 2, 3, 4, 5, 7, 9, 11, 16
58, 0, 1, 2, 3, 4, 5, 7, 9, 12, 15
58, 0, 1, 2, 3, 4, 5, 7, 9, 13, 14
58, 0, 1, 2, 3, 4, 5, 7, 10, 11, 15
58, 0, 1, 2, 3, 4, 5, 7, 10, 12, 14
58, 0, 1, 2, 3, 4, 5, 7, 11, 12, 13
58, 0, 1, 2, 3, 4, 5, 8, 9, 10, 16
58, 0, 1, 2, 3, 4, 5, 8, 9, 11, 15
58, 0, 1, 2, 3, 4, 5, 8, 9, 12, 14
58, 0, 1, 2, 3, 4, 5, 8, 10, 11, 14
58, 0, 1, 2, 3, 4, 5, 8, 10, 12, 13
58, 0, 1, 2, 3, 4, 5, 9, 10, 11, 13
58, 0, 1, 2, 3, 4, 6, 7, 8, 9, 18
58, 0, 1, 2, 3, 4, 6, 7, 8, 10, 17
58, 0, 1, 2, 3, 4, 6, 7, 8, 11, 16
58, 0, 1, 2, 3, 4, 6, 7, 8, 12, 15
58, 0, 1, 2, 3, 4, 6, 7, 8, 13, 14
58, 0, 1, 2, 3, 4, 6, 7, 9, 10, 16
58, 0, 1, 2, 3, 4, 6, 7, 9, 11, 15
58, 0, 1, 2, 3, 4, 6, 7, 9, 12, 14
58, 0, 1, 2, 3, 4, 6, 7, 10, 11, 14
58, 0, 1, 2, 3, 4, 6, 7, 10, 12, 13
58, 0, 1, 2, 3, 4, 6, 8, 9, 10, 15
58, 0, 1, 2, 3, 4, 6, 8, 9, 11, 14
58, 0, 1, 2, 3, 4, 6, 8, 9, 12, 13
58, 0, 1, 2, 3, 4, 6, 8, 10, 11, 13
58, 0, 1, 2, 3, 4, 6, 9, 10, 11, 12
58, 0, 1, 2, 3, 4, 7, 8, 9, 10, 14
58, 0, 1, 2, 3, 4, 7, 8, 9, 11, 13
58, 0, 1, 2, 3, 4, 7, 8, 10, 11, 12
58, 0, 1, 2, 3, 5, 6, 7, 8, 9, 17
58, 0, 1, 2, 3, 5, 6, 7, 8, 10, 16
58, 0, 1, 2, 3, 5, 6, 7, 8, 11, 15
58, 0, 1, 2, 3, 5, 6, 7, 8, 12, 14
58, 0, 1, 2, 3, 5, 6, 7, 9, 10, 15
58, 0, 1, 2, 3, 5, 6, 7, 9, 11, 14
58, 0, 1, 2, 3, 5, 6, 7, 9, 12, 13
58, 0, 1, 2, 3, 5, 6, 7, 10, 11, 13
58, 0, 1, 2, 3, 5, 6, 8, 9, 10, 14
58, 0, 1, 2, 3, 5, 6, 8, 9, 11, 13
58, 0, 1, 2, 3, 5, 6, 8, 10, 11, 12
58, 0, 1, 2, 3, 5, 7, 8, 9, 10, 13
58, 0, 1, 2, 3, 5, 7, 8, 9, 11, 12
58, 0, 1, 2, 3, 6, 7, 8, 9, 10, 12
58, 0, 1, 2, 4, 5, 6, 7, 8, 9, 16
58, 0, 1, 2, 4, 5, 6, 7, 8, 10, 15
58, 0, 1, 2, 4, 5, 6, 7, 8, 11, 14
58, 0, 1, 2, 4, 5, 6, 7, 8, 12, 13
58, 0, 1, 2, 4, 5, 6, 7, 9, 10, 14
58, 0, 1, 2, 4, 5, 6, 7, 9, 11, 13
58, 0, 1, 2, 4, 5, 6, 7, 10, 11, 12
58, 0, 1, 2, 4, 5, 6, 8, 9, 10, 13
58, 0, 1, 2, 4, 5, 6, 8, 9, 11, 12
58, 0, 1, 2, 4, 5, 7, 8, 9, 10, 12
58, 0, 1, 2, 4, 6, 7, 8, 9, 10, 11
58, 0, 1, 3, 4, 5, 6, 7, 8, 9, 15
58, 0, 1, 3, 4, 5, 6, 7, 8, 10, 14
58, 0, 1, 3, 4, 5, 6, 7, 8, 11, 13
58, 0, 1, 3, 4, 5, 6, 7, 9, 10, 13
58, 0, 1, 3, 4, 5, 6, 7, 9, 11, 12
58, 0, 1, 3, 4, 5, 6, 8, 9, 10, 12
58, 0, 1, 3, 4, 5, 7, 8, 9, 10, 11
58, 0, 2, 3, 4, 5, 6, 7, 8, 9, 14
58, 0, 2, 3, 4, 5, 6, 7, 8, 10, 13
58, 0, 2, 3, 4, 5, 6, 7, 8, 11, 12
58, 0, 2, 3, 4, 5, 6, 7, 9, 10, 12
58, 0, 2, 3, 4, 5, 6, 8, 9, 10, 11
58, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13
58, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12
58, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11
59, 0, 1, 2, 3, 4, 5, 6, 7, 8, 23
59, 0, 1, 2, 3, 4, 5, 6, 7, 9, 22
59, 0, 1, 2, 3, 4, 5, 6, 7, 10, 21
59, 0, 1, 2, 3, 4, 5, 6, 7, 11, 20
59, 0, 1, 2, 3, 4, 5, 6, 7, 12, 19
59, 0, 1, 2, 3, 4, 5, 6, 7, 13, 18
59, 0, 1, 2, 3, 4, 5, 6, 7, 14, 17
59, 0, 1, 2, 3, 4, 5, 6, 7, 15, 16
59, 0, 1, 2, 3, 4, 5, 6, 8, 9, 21
59, 0, 1, 2, 3, 4, 5, 6, 8, 10, 20
59, 0, 1, 2, 3, 4, 5, 6, 8, 11, 19
59, 0, 1, 2, 3, 4, 5, 6, 8, 12, 18
59, 0, 1, 2, 3, 4, 5, 6, 8, 13, 17
59, 0, 1, 2, 3, 4, 5, 6, 8, 14, 16
59, 0, 1, 2, 3, 4, 5, 6, 9, 10, 19
59, 0, 1, 2, 3, 4, 5, 6, 9, 11, 18
59, 0, 1, 2, 3, 4, 5, 6, 9, 12, 17
59, 0, 1, 2, 3, 4, 5, 6, 9, 13, 16
59, 0, 1, 2, 3, 4, 5, 6, 9, 14, 15
59, 0, 1, 2, 3, 4, 5, 6, 10, 11, 17
59, 0, 1, 2, 3, 4, 5, 6, 10, 12, 16
59, 0, 1, 2, 3, 4, 5, 6, 10, 13, 15
59, 0, 1, 2, 3, 4, 5, 6, 11, 12, 15
59, 0, 1, 2, 3, 4, 5, 6, 11, 13, 14
59, 0, 1, 2, 3, 4, 5, 7, 8, 9, 20
59, 0, 1, 2, 3, 4, 5, 7, 8, 10, 19
59, 0, 1, 2, 3, 4, 5, 7, 8, 11, 18
59, 0, 1, 2, 3, 4, 5, 7, 8, 12, 17
59, 0, 1, 2, 3, 4, 5, 7, 8, 13, 16
59, 0, 1, 2, 3, 4, 5, 7, 8, 14, 15
59, 0, 1, 2, 3, 4, 5, 7, 9, 10, 18
59, 0, 1, 2, 3, 4, 5, 7, 9, 11, 17
59, 0, 1, 2, 3, 4, 5, 7, 9, 12, 16
59, 0, 1, 2, 3, 4, 5, 7, 9, 13, 15
59, 0, 1, 2, 3, 4, 5, 7, 10, 11, 16
59, 0, 1, 2, 3, 4, 5, 7, 10, 12, 15
59, 0, 1, 2, 3, 4, 5, 7, 10, 13, 14
59, 0, 1, 2, 3, 4, 5, 7, 11, 12, 14
59, 0, 1, 2, 3, 4, 5, 8, 9, 10, 17
59, 0, 1, 2, 3, 4, 5, 8, 9, 11, 16
59, 0, 1, 2, 3, 4, 5, 8, 9, 12, 15
59, 0, 1, 2, 3, 4, 5, 8, 9, 13, 14
59, 0, 1, 2, 3, 4, 5, 8, 10, 11, 15
59, 0, 1, 2, 3, 4, 5, 8, 10, 12, 14
59, 0, 1, 2, 3, 4, 5, 8, 11, 12, 13
59, 0, 1, 2, 3, 4, 5, 9, 10, 11, 14
59, 0, 1, 2, 3, 4, 5, 9, 10, 12, 13
59, 0, 1, 2, 3, 4, 6, 7, 8, 9, 19
59, 0, 1, 2, 3, 4, 6, 7, 8, 10, 18
59, 0, 1, 2, 3, 4, 6, 7, 8, 11, 17
59, 0, 1, 2, 3, 4, 6, 7, 8, 12, 16
59, 0, 1, 2, 3, 4, 6, 7, 8, 13, 15
59, 0, 1, 2, 3, 4, 6, 7, 9, 10, 17
59, 0, 1, 2, 3, 4, 6, 7, 9, 11, 16
59, 0, 1, 2, 3, 4, 6, 7, 9, 12, 15
59, 0, 1, 2, 3, 4, 6, 7, 9, 13, 14
59, 0, 1, 2, 3, 4, 6, 7, 10, 11, 15
59, 0, 1, 2, 3, 4, 6, 7, 10, 12, 14
59, 0, 1, 2, 3, 4, 6, 7, 11, 12, 13
59, 0, 1, 2, 3, 4, 6, 8, 9, 10, 16
59, 0, 1, 2, 3, 4, 6, 8, 9, 11, 15
59, 0, 1, 2, 3, 4, 6, 8, 9, 12, 14
59, 0, 1, 2, 3, 4, 6, 8, 10, 11, 14
59, 0, 1, 2, 3, 4, 6, 8, 10, 12, 13
