score, v[0], v[1], v[2], v[3], v[4]
28, 0, 1, 4, 7, 16
28, 0, 1, 4, 8, 15
28, 0, 1, 4, 9, 14
28, 0, 1, 4, 10, 13
28, 0, 1, 4, 11, 12
28, 0, 1, 5, 6, 16
28, 0, 1, 5, 7, 15
28, 0, 1, 5, 8, 14
28, 0, 1, 5, 9, 13
28, 0, 1, 5, 10, 12
28, 0, 1, 6, 7, 14
28, 0, 1, 6, 8, 13
28, 0, 1, 6, 9, 12
28, 0, 1, 6, 10, 11
28, 0, 1, 7, 8, 12
28, 0, 1, 7, 9, 11
28, 0, 1, 8, 9, 10
28, 0, 2, 3, 4, 19
28, 0, 2, 3, 5, 18
28, 0, 2, 3, 6, 17
28, 0, 2, 3, 7, 16
28, 0, 2, 3, 8, 15
28, 0, 2, 3, 9, 14
28, 0, 2, 3, 10, 13
28, 0, 2, 3, 11, 12
28, 0, 2, 4, 5, 17
28, 0, 2, 4, 6, 16
28, 0, 2, 4, 7, 15
28, 0, 2, 4, 8, 14
28, 0, 2, 4, 9, 13
28, 0, 2, 4, 10, 12
28, 0, 2, 5, 6, 15
28, 0, 2, 5, 7, 14
28, 0, 2, 5, 8, 13
28, 0, 2, 5, 9, 12
28, 0, 2, 5, 10, 11
28, 0, 2, 6, 7, 13
28, 0, 2, 6, 8, 12
28, 0, 2, 6, 9, 11
28, 0, 2, 7, 8, 11
28, 0, 2, 7, 9, 10
28, 0, 3, 4, 5, 16
28, 0, 3, 4, 6, 15
28, 0, 3, 4, 7, 14
28, 0, 3, 4, 8, 13
28, 0, 3, 4, 9, 12
28, 0, 3, 4, 10, 11
28, 0, 3, 5, 6, 14
28, 0, 3, 5, 7, 13
28, 0, 3, 5, 8, 12
28, 0, 3, 5, 9, 11
28, 0, 3, 6, 7, 12
28, 0, 3, 6, 8, 11
28, 0, 3, 6, 9, 10
28, 0, 3, 7, 8, 10
28, 0, 4, 5, 6, 13
28, 0, 4, 5, 7, 12
28, 0, 4, 5, 8, 11
28, 0, 4, 5, 9, 10
28, 0, 4, 6, 7, 11
28, 0, 4, 6, 8, 10
28, 0, 4, 7, 8, 9
28, 0, 5, 6, 7, 10
28, 0, 5, 6, 8, 9
28, 1, 2, 3, 4, 18
28, 1, 2, 3, 5, 17
28, 1, 2, 3, 6, 16
28, 1, 2, 3, 7, 15
28, 1, 2, 3, 8, 14
28, 1, 2, 3, 9, 13
28, 1, 2, 3, 10, 12
28, 1, 2, 4, 5, 16
28, 1, 2, 4, 6, 15
28, 1, 2, 4, 7, 14
28, 1, 2, 4, 8, 13
28, 1, 2, 4, 9, 12
28, 1, 2, 4, 10, 11
28, 1, 2, 5, 6, 14
28, 1, 2, 5, 7, 13
28, 1, 2, 5, 8, 12
28, 1, 2, 5, 9, 11
28, 1, 2, 6, 7, 12
28, 1, 2, 6, 8, 11
28, 1, 2, 6, 9, 10
28, 1, 2, 7, 8, 10
