score, v[0], v[1], v[2], v[3]
27, 0, 2, 6, 19
27, 0, 2, 7, 18
27, 0, 2, 8, 17
27, 0, 2, 9, 16
27, 0, 2, 10, 15
27, 0, 2, 11, 14
27, 0, 2, 12, 13
27, 0, 3, 4, 20
27, 0, 3, 5, 19
27, 0, 3, 6, 18
27, 0, 3, 7, 17
27, 0, 3, 8, 16
27, 0, 3, 9, 15
27, 0, 3, 10, 14
27, 0, 3, 11, 13
27, 0, 4, 5, 18
27, 0, 4, 6, 17
27, 0, 4, 7, 16
27, 0, 4, 8, 15
27, 0, 4, 9, 14
27, 0, 4, 10, 13
27, 0, 4, 11, 12
27, 0, 5, 6, 16
27, 0, 5, 7, 15
27, 0, 5, 8, 14
27, 0, 5, 9, 13
27, 0, 5, 10, 12
27, 0, 6, 7, 14
27, 0, 6, 8, 13
27, 0, 6, 9, 12
27, 0, 6, 10, 11
27, 0, 7, 8, 12
27, 0, 7, 9, 11
27, 0, 8, 9, 10
27, 1, 2, 3, 21
27, 1, 2, 4, 20
27, 1, 2, 5, 19
27, 1, 2, 6, 18
27, 1, 2, 7, 17
27, 1, 2, 8, 16
27, 1, 2, 9, 15
27, 1, 2, 10, 14
27, 1, 2, 11, 13
27, 1, 3, 4, 19
27, 1, 3, 5, 18
27, 1, 3, 6, 17
27, 1, 3, 7, 16
27, 1, 3, 8, 15
27, 1, 3, 9, 14
27, 1, 3, 10, 13
27, 1, 3, 11, 12
27, 1, 4, 5, 17
27, 1, 4, 6, 16
27, 1, 4, 7, 15
27, 1, 4, 8, 14
27, 1, 4, 9, 13
27, 1, 4, 10, 12
27, 1, 5, 6, 15
27, 1, 5, 7, 14
27, 1, 5, 8, 13
27, 1, 5, 9, 12
27, 1, 5, 10, 11
27, 1, 6, 7, 13
27, 1, 6, 8, 12
27, 1, 6, 9, 11
27, 1, 7, 8, 11
27, 1, 7, 9, 10
27, 2, 3, 4, 18
27, 2, 3, 5, 17
27, 2, 3, 6, 16
27, 2, 3, 7, 15
27, 2, 3, 8, 14
27, 2, 3, 9, 13
27, 2, 3, 10, 12
27, 2, 4, 5, 16
27, 2, 4, 6, 15
27, 2, 4, 7, 14
27, 2, 4, 8, 13
27, 2, 4, 9, 12
27, 2, 4, 10, 11
27, 2, 5, 6, 14
27, 2, 5, 7, 13
27, 2, 5, 8, 12
27, 2, 5, 9, 11
27, 2, 6, 7, 12
27, 2, 6, 8, 11
27, 2, 6, 9, 10
27, 2, 7, 8, 10
27, 3, 4, 5, 15
27, 3, 4, 6, 14
27, 3, 4, 7, 13
27, 3, 4, 8, 12
27, 3, 4, 9, 11
27, 3, 5, 6, 13
27, 3, 5, 7, 12
27, 3, 5, 8, 11
27, 3, 5, 9, 10
27, 3, 6, 7, 11
27, 3, 6, 8, 10
27, 3, 7, 8, 9
27, 4, 5, 6, 12
27, 4, 5, 7, 11
27, 4, 5, 8, 10
27, 4, 6, 7, 10
27, 4, 6, 8, 9
27, 5, 6, 7, 9
28, 0, 1, 2, 25
28, 0, 1, 3, 24
28, 0, 1, 4, 23
28, 0, 1, 5, 22
28, 0, 1, 6, 21
28, 0, 1, 7, 20
28, 0, 1, 8, 19
28, 0, 1, 9, 18
28, 0, 1, 10, 17
28, 0, 1, 11, 16
28, 0, 1, 12, 15
28, 0, 1, 13, 14
28, 0, 2, 3, 23
28, 0, 2, 4, 22
28, 0, 2, 5, 21
28, 0, 2, 6, 20
28, 0, 2, 7, 19
28, 0, 2, 8, 18
28, 0, 2, 9, 17
28, 0, 2, 10, 16
28, 0, 2, 11, 15
28, 0, 2, 12, 14
28, 0, 3, 4, 21
28, 0, 3, 5, 20
28, 0, 3, 6, 19
28, 0, 3, 7, 18
28, 0, 3, 8, 17
28, 0, 3, 9, 16
28, 0, 3, 10, 15
28, 0, 3, 11, 14
28, 0, 3, 12, 13
28, 0, 4, 5, 19
28, 0, 4, 6, 18
28, 0, 4, 7, 17
28, 0, 4, 8, 16
28, 0, 4, 9, 15
28, 0, 4, 10, 14
28, 0, 4, 11, 13
28, 0, 5, 6, 17
28, 0, 5, 7, 16
28, 0, 5, 8, 15
28, 0, 5, 9, 14
28, 0, 5, 10, 13
28, 0, 5, 11, 12
28, 0, 6, 7, 15
28, 0, 6, 8, 14
